Strain,AMR_gene,Locus_tag,Category
Enterobacter_CZ862,aadA15,NA,Unknown
Enterobacter_CZ862,aadA2,NA,Unknown
Enterobacter_CZ862,qacEdelta1,EKOBGIND_05439,Accessory
Enterobacter_CZ862,sul1,EKOBGIND_05440,Accessory
Enterobacter_CZ862,qnrB2,EKOBGIND_05444,Accessory
Enterobacter_CZ862,qacE,NA,Unknown
Enterobacter_CZ862,sul1,EKOBGIND_05446,Accessory
Enterobacter_EFN743,dfrA14,OMHCOPEJ_00072,Accessory
Enterobacter_EFN743,qnrB1,OMHCOPEJ_00076,Accessory
Enterobacter_EFN743,aac(3)-IIe,OMHCOPEJ_00085,Accessory
Enterobacter_EFN743,catB3,OMHCOPEJ_00087,Accessory
Enterobacter_EFN743,blaOXA-1,OMHCOPEJ_00088,Accessory
Enterobacter_EFN743,aac(6')-Ib-cr5,OMHCOPEJ_00089,Accessory
Enterobacter_EFN743,blaCTX-M-15,OMHCOPEJ_00093,Accessory
Enterobacter_EFN743,blaTEM-1,OMHCOPEJ_00098,Accessory
Enterobacter_EFN743,aph(6)-Id,OMHCOPEJ_00100,Accessory
Enterobacter_EFN743,aph(3'')-Ib,OMHCOPEJ_00101,Accessory
Enterobacter_EFN743,sul2,OMHCOPEJ_00102,Accessory
Enterobacter_EFN743,tet(A),OMHCOPEJ_00150,Accessory
Enterobacter_EFN743,oqxA,OMHCOPEJ_02696,Accessory
Enterobacter_EFN743,oqxB,OMHCOPEJ_02697,Accessory
Enterobacter_EFN743,fosA,OMHCOPEJ_04453,Accessory
Enterobacter_EFN743,blaCMH-9,OMHCOPEJ_04599,Accessory
Enterobacter_EFN743,aadA1,OMHCOPEJ_05121,Accessory
Enterobacter_EFN743,sat2,OMHCOPEJ_05122,Accessory
Enterobacter_EFN743,dfrA1,OMHCOPEJ_05123,Accessory
Enterobacter_EFN743,blaOXA-181,OMHCOPEJ_05200,Accessory
Enterobacter_CZ-1,oqxB,COGLGEMM_02504,Accessory
Enterobacter_CZ-1,oqxA,COGLGEMM_02505,Accessory
Enterobacter_CZ-1,fosA,COGLGEMM_04076,Accessory
Enterobacter_CZ-1,blaACT,COGLGEMM_04216,Accessory
Enterobacter_SBP-8,blaCMH,IPFGIDEJ_00375,Accessory
Enterobacter_SBP-8,fosA,IPFGIDEJ_00509,Accessory
Enterobacter_SBP-8,oqxB,IPFGIDEJ_01966,Accessory
Enterobacter_SBP-8,oqxA,IPFGIDEJ_01967,Accessory
Enterobacter_POL9,blaCMH,DHGDCEAL_00418,Accessory
Enterobacter_POL9,fosA,DHGDCEAL_00575,Accessory
Enterobacter_POL9,oqxB,DHGDCEAL_02148,Accessory
Enterobacter_POL9,oqxA,DHGDCEAL_02149,Accessory
Enterobacter_STK39-C,blaCMH,POOKNMEP_00384,Accessory
Enterobacter_STK39-C,fosA,POOKNMEP_00525,Accessory
Enterobacter_STK39-C,oqxB,POOKNMEP_02091,Accessory
Enterobacter_STK39-C,oqxA,POOKNMEP_02092,Accessory
Enterobacter_STK39-C,blaIMI-1,POOKNMEP_03020,Accessory
Enterobacter_53EVA,blaCMH,NPHFFHGE_00472,Accessory
Enterobacter_53EVA,oqxB,NPHFFHGE_02170,Accessory
Enterobacter_53EVA,oqxA,NPHFFHGE_02171,Accessory
Enterobacter_53EVA,tet(M),NPHFFHGE_04722,Accessory
Enterobacter_53EVA,sul2,NPHFFHGE_04736,Accessory
Enterobacter_53EVA,tet(X4),NA,Unknown
Enterobacter_53EVA,floR,NPHFFHGE_04743,Accessory
Enterobacter_53EVA,dfrA12,NPHFFHGE_04751,Accessory
Enterobacter_53EVA,aadA2,NA,Unknown
Enterobacter_53EVA,cmlA1,NPHFFHGE_04753,Accessory
Enterobacter_53EVA,aadA1,NA,Unknown
Enterobacter_53EVA,qacL,NPHFFHGE_04755,Accessory
Enterobacter_53EVA,sul3,NPHFFHGE_04757,Accessory
Enterobacter_53EVA,blaTEM-1,NPHFFHGE_04765,Accessory
Enterobacter_53EVA,qnrS1,NPHFFHGE_04767,Accessory
Enterobacter_53EVA,fosA4,NPHFFHGE_04905,Accessory
Enterobacter_ECC-003,blaCMH-25,LFMCPLOF_00997,Accessory
Enterobacter_ECC-003,fosA,LFMCPLOF_01167,Accessory
Enterobacter_ECC-003,oqxB,LFMCPLOF_02806,Accessory
Enterobacter_ECC-003,oqxA,LFMCPLOF_02807,Accessory
Enterobacter_ECC-003,floR,LFMCPLOF_04767,Accessory
Enterobacter_ECC-003,tet(C),LFMCPLOF_04859,Accessory
Enterobacter_ECC-003,mph(A),LFMCPLOF_04863,Accessory
Enterobacter_ECC-003,mrx(A),LFMCPLOF_04864,Accessory
Enterobacter_ECC-003,sul1,LFMCPLOF_04870,Accessory
Enterobacter_ECC-003,qacEdelta1,LFMCPLOF_04871,Accessory
Enterobacter_ECC-003,aadA2,NA,Unknown
Enterobacter_ECC-003,dfrA12,LFMCPLOF_04873,Accessory
Enterobacter_ECC-003,qnrD1,LFMCPLOF_04881,Accessory
Enterobacter_ECC-003,blaOXA-48,LFMCPLOF_04893,Accessory
Enterobacter_GGT036,blaCMH,GHOMJFAF_00391,Accessory
Enterobacter_GGT036,fosA,GHOMJFAF_00564,Accessory
Enterobacter_GGT036,oqxB,GHOMJFAF_02072,Accessory
Enterobacter_GGT036,oqxA,GHOMJFAF_02073,Accessory
Enterobacter_ECC-068,blaCMH-17,FCELMNLF_01012,Accessory
Enterobacter_ECC-068,fosA,FCELMNLF_01163,Accessory
Enterobacter_ECC-068,oqxB,FCELMNLF_02812,Accessory
Enterobacter_ECC-068,oqxA,FCELMNLF_02813,Accessory
Enterobacter_SD21,blaCMH-7,EBMPGEIC_00386,Accessory
Enterobacter_SD21,fosA,EBMPGEIC_00527,Accessory
Enterobacter_SD21,oqxB,EBMPGEIC_02000,Accessory
Enterobacter_SD21,oqxA,EBMPGEIC_02001,Accessory
Enterobacter_SD21,qnrS1,EBMPGEIC_04548,Accessory
Enterobacter_SD21,blaCTX-M-55,EBMPGEIC_04554,Accessory
Enterobacter_SD21,blaTEM-1,EBMPGEIC_04559,Accessory
Enterobacter_SD21,rmtB1,EBMPGEIC_04560,Accessory
Enterobacter_SD21,fosA3,EBMPGEIC_04565,Accessory
Enterobacter_SD21,aac(3)-IId,EBMPGEIC_04567,Accessory
Enterobacter_SD21,aadA22,NA,Unknown
Enterobacter_SD21,lnu(F),EBMPGEIC_04574,Accessory
Enterobacter_SD21,sul3,EBMPGEIC_04580,Accessory
Enterobacter_SD21,tet(A),EBMPGEIC_04602,Accessory
Enterobacter_SD21,aph(6)-Id,EBMPGEIC_04605,Accessory
Enterobacter_SD21,floR,EBMPGEIC_04610,Accessory
Enterobacter_SD21,aph(3')-Ia,EBMPGEIC_04628,Accessory
Enterobacter_SD21,mrx(A),EBMPGEIC_04632,Accessory
Enterobacter_SD21,mph(A),EBMPGEIC_04633,Accessory
Enterobacter_SD21,arr-2,EBMPGEIC_04636,Accessory
Enterobacter_SD21,dfrA14,EBMPGEIC_04637,Accessory
Enterobacter_SD21,mcr-8.2,EBMPGEIC_04837,Accessory
Enterobacter_SDM,blaCMH,CGKPFPHI_00415,Accessory
Enterobacter_SDM,fosA,CGKPFPHI_00570,Accessory
Enterobacter_SDM,oqxB,CGKPFPHI_02145,Accessory
Enterobacter_SDM,oqxA,CGKPFPHI_02146,Accessory
Enterobacter_GX1Z-1L,blaCMH,CMHPHCEL_01453,Accessory
Enterobacter_GX1Z-1L,oqxB,CMHPHCEL_03228,Accessory
Enterobacter_GX1Z-1L,oqxA,CMHPHCEL_03229,Accessory
Enterobacter_GX1Z-1L,lnu(G),CMHPHCEL_04655,Accessory
Enterobacter_GX1Z-1L,aadA22,NA,Unknown
Enterobacter_GX1Z-1L,blaTEM-1,CMHPHCEL_04767,Accessory
Enterobacter_GX1Z-1L,qnrS1,CMHPHCEL_04773,Accessory
Enterobacter_GX1Z-1L,tet(A),CMHPHCEL_04789,Accessory
Enterobacter_GX1Z-1L,aph(6)-Id,CMHPHCEL_04818,Accessory
Enterobacter_GX1Z-1L,aph(3'')-Ib,CMHPHCEL_04819,Accessory
Enterobacter_GX1Z-1L,qnrS1,CMHPHCEL_04847,Accessory
Enterobacter_GX1Z-1L,blaTEM-1,CMHPHCEL_04862,Accessory
Enterobacter_GX1Z-1L,aph(6)-Id,CMHPHCEL_04864,Accessory
Enterobacter_GX1Z-1L,aph(3'')-Ib,CMHPHCEL_04865,Accessory
Enterobacter_GX1Z-1L,sul2,CMHPHCEL_04866,Accessory
Enterobacter_GX1Z-1L,dfrA14,CMHPHCEL_04871,Accessory
Enterobacter_GX1Z-1L,floR,CMHPHCEL_04891,Accessory
Enterobacter_GX1Z-1L,tet(X4),NA,Unknown
Enterobacter_MY490,blaCMH-4,OCFMPEMJ_01206,Accessory
Enterobacter_MY490,fosA,OCFMPEMJ_01345,Accessory
Enterobacter_MY490,oqxB,OCFMPEMJ_03097,Accessory
Enterobacter_MY490,oqxA,OCFMPEMJ_03098,Accessory
Enterobacter_MY490,ant(2'')-Ia,OCFMPEMJ_05033,Accessory
Enterobacter_MY490,catB8,OCFMPEMJ_05034,Accessory
Enterobacter_MY490,blaOXA-10,OCFMPEMJ_05035,Accessory
Enterobacter_MY490,aadA1,OCFMPEMJ_05036,Accessory
Enterobacter_MY490,qacEdelta1,OCFMPEMJ_05037,Accessory
Enterobacter_MY490,sul1,OCFMPEMJ_05038,Accessory
Enterobacter_MY490,aph(3')-Ia,OCFMPEMJ_05055,Accessory
Enterobacter_MY490,mph(A),OCFMPEMJ_05057,Accessory
Enterobacter_MY490,mrx(A),OCFMPEMJ_05058,Accessory
Enterobacter_MY490,dfrA12,NA,Unknown
Enterobacter_MY490,aadA21,NA,Unknown
Enterobacter_MY490,qacEdelta1,OCFMPEMJ_05069,Accessory
Enterobacter_MY490,sul1,OCFMPEMJ_05070,Accessory
Enterobacter_MY490,blaTEM-1,OCFMPEMJ_04962,Accessory
Enterobacter_MY490,qnrS1,OCFMPEMJ_04970,Accessory
Enterobacter_MY490,sul1,NA,Unknown
Enterobacter_MY490,qacEdelta1,OCFMPEMJ_04977,Accessory
Enterobacter_MY490,aadA2,NA,Unknown
Enterobacter_MY490,dfrA12,OCFMPEMJ_04979,Accessory
Enterobacter_MY490,floR,OCFMPEMJ_04988,Accessory
Enterobacter_MY490,sul2,OCFMPEMJ_04992,Accessory
Enterobacter_MY490,tet(A),OCFMPEMJ_04999,Accessory
Enterobacter_MY490,aph(3'')-Ib,NA,Unknown
Enterobacter_MY490,aph(6)-Id,OCFMPEMJ_05004,Accessory
Enterobacter_DSM_30054,fosA,GCNELNNK_01060,Accessory
Enterobacter_DSM_30054,blaCMH-4,GCNELNNK_01213,Accessory
Enterobacter_DSM_30054,sul2,GCNELNNK_03124,Accessory
Enterobacter_DSM_30054,oqxA,GCNELNNK_04571,Accessory
Enterobacter_DSM_30054,oqxB,GCNELNNK_04572,Accessory
Enterococcus_AUS2002,dfrF,OGMJDGAN_01401,Accessory
Enterococcus_AUS2002,tet(M),OGMJDGAN_01624,Accessory
Enterococcus_AUS2002,aac(6')-I,OGMJDGAN_02242,Core
Enterococcus_AUS2002,vanX-D,OGMJDGAN_02652,Accessory
Enterococcus_AUS2002,vanD,OGMJDGAN_02653,Accessory
Enterococcus_AUS2002,vanH-D,OGMJDGAN_02654,Accessory
Enterococcus_AUS2002,vanY-D,OGMJDGAN_02655,Accessory
Enterococcus_AUS2002,vanS-D,OGMJDGAN_02656,Accessory
Enterococcus_AUS2002,vanR-D,OGMJDGAN_02657,Accessory
Enterococcus_AUS2002,msr(C),OGMJDGAN_02780,Core
Enterococcus_AUS2002,aac(6')-Ie/aph(2'')-Ia,OGMJDGAN_03030,Accessory
Enterococcus_AUS2002,erm(B),OGMJDGAN_03196,Accessory
Enterococcus_AUS2002,aph(3')-IIIa,OGMJDGAN_03197,Accessory
Enterococcus_AUS2002,ant(6)-Ia,OGMJDGAN_03201,Accessory
Enterococcus_AUS2002,lnu(B),OGMJDGAN_03206,Accessory
Enterococcus_AUS2002,lsa(E),OGMJDGAN_03207,Accessory
Enterococcus_DSM_20477,aac(6')-I,CCJEOMHJ_01999,Core
Enterococcus_DSM_20477,msr(C),CCJEOMHJ_02364,Core
Enterococcus_EF9953,aac(6')-I,EGLFCKPH_02382,Core
Enterococcus_EF9953,msr(C),EGLFCKPH_02749,Core
Enterococcus_EF9953,tet(L),EGLFCKPH_02992,Accessory
Enterococcus_EF9953,ant(6)-Ia,NA,Unknown
Enterococcus_EF9953,aph(3')-IIIa,EGLFCKPH_02999,Accessory
Enterococcus_EF9953,erm(B),EGLFCKPH_03000,Accessory
Enterococcus_EF9953,vanZ-A,EGLFCKPH_03217,Accessory
Enterococcus_EF9953,vanY-A,NA,Unknown
Enterococcus_EF9953,vanX-A,EGLFCKPH_03219,Accessory
Enterococcus_EF9953,vanA,EGLFCKPH_03220,Accessory
Enterococcus_EF9953,vanH-A,EGLFCKPH_03221,Accessory
Enterococcus_EF9953,vanS-A,NA,Unknown
Enterococcus_EF9953,vanR-A,EGLFCKPH_03223,Accessory
Enterococcus_EF9953,erm(B),NA,Unknown
Enterococcus_EF9953,aac(6')-Ie/aph(2'')-Ia,EGLFCKPH_03237,Accessory
Enterococcus_EF9953,ant(6)-Ia,NA,Unknown
Enterococcus_EF9953,sat4,EGLFCKPH_03258,Accessory
Enterococcus_EF9953,aph(3')-IIIa,EGLFCKPH_03259,Accessory
Enterococcus_EF9953,tet(S),EGLFCKPH_03269,Accessory
Enterococcus_Dallas_100_1,dfrF,FDJAPHEK_01614,Accessory
Enterococcus_Dallas_100_1,aac(6')-I,FDJAPHEK_02355,Core
Enterococcus_Dallas_100_1,msr(C),FDJAPHEK_02744,Core
Enterococcus_Dallas_100_1,aac(6')-Ie/aph(2'')-Ia,NA,Unknown
Enterococcus_Dallas_100_1,erm(B),FDJAPHEK_03109,Accessory
Enterococcus_Dallas_100_1,ant(6)-Ia,NA,Unknown
Enterococcus_Dallas_100_1,sat4,FDJAPHEK_03117,Accessory
Enterococcus_Dallas_100_1,aph(3')-IIIa,FDJAPHEK_03118,Accessory
Enterococcus_Dallas_100_1,vanR-A,FDJAPHEK_03129,Accessory
Enterococcus_Dallas_100_1,vanS-A,NA,Unknown
Enterococcus_Dallas_100_1,vanH-A,FDJAPHEK_03132,Accessory
Enterococcus_Dallas_100_1,vanA,FDJAPHEK_03133,Accessory
Enterococcus_Dallas_100_1,vanX-A,FDJAPHEK_03134,Accessory
Enterococcus_Dallas_100_1,vanY-A,FDJAPHEK_03135,Accessory
Enterococcus_Dallas_100_1,vanZ-A,FDJAPHEK_03136,Accessory
Enterococcus_2014-VREF-41,ant(9)-Ia,LHIOKKMF_00122,Accessory
Enterococcus_2014-VREF-41,erm(A),LHIOKKMF_00123,Accessory
Enterococcus_2014-VREF-41,dfrF,LHIOKKMF_00819,Accessory
Enterococcus_2014-VREF-41,msr(C),LHIOKKMF_02412,Core
Enterococcus_2014-VREF-41,aac(6')-I,LHIOKKMF_02847,Core
Enterococcus_2014-VREF-41,ant(9)-Ia,LHIOKKMF_02943,Accessory
Enterococcus_2014-VREF-41,erm(A),LHIOKKMF_02944,Accessory
Enterococcus_2014-VREF-41,aac(6')-Ie/aph(2'')-Ia,NA,Unknown
Enterococcus_2014-VREF-41,aph(3')-IIIa,LHIOKKMF_03188,Accessory
Enterococcus_2014-VREF-41,erm(B),LHIOKKMF_03189,Accessory
Enterococcus_2014-VREF-41,vanZ-A,LHIOKKMF_03220,Accessory
Enterococcus_2014-VREF-41,vanY-A,LHIOKKMF_03221,Accessory
Enterococcus_2014-VREF-41,vanX-A,LHIOKKMF_03223,Accessory
Enterococcus_2014-VREF-41,vanA,LHIOKKMF_03224,Accessory
Enterococcus_2014-VREF-41,vanH-A,LHIOKKMF_03225,Accessory
Enterococcus_2014-VREF-41,vanS-A,NA,Unknown
Enterococcus_2014-VREF-41,vanR-A,LHIOKKMF_03227,Accessory
Enterococcus_Dallas_144_1,tet(M),EEKMHMKB_00054,Accessory
Enterococcus_Dallas_144_1,dfrF,EEKMHMKB_01426,Accessory
Enterococcus_Dallas_144_1,aac(6')-I,EEKMHMKB_02342,Core
Enterococcus_Dallas_144_1,msr(C),EEKMHMKB_02725,Core
Enterococcus_Dallas_144_1,dfrG,EEKMHMKB_03095,Accessory
Enterococcus_Dallas_144_1,erm(B),EEKMHMKB_02903,Accessory
Enterococcus_Dallas_144_1,ant(6)-Ia,EEKMHMKB_02909,Accessory
Enterococcus_Dallas_144_1,sat4,EEKMHMKB_02911,Accessory
Enterococcus_Dallas_144_1,aph(3')-IIIa,EEKMHMKB_02912,Accessory
Enterococcus_Dallas_144_1,vanZ-A,EEKMHMKB_02938,Accessory
Enterococcus_Dallas_144_1,vanY-A,EEKMHMKB_02939,Accessory
Enterococcus_Dallas_144_1,vanX-A,EEKMHMKB_02940,Accessory
Enterococcus_Dallas_144_1,vanA,EEKMHMKB_02941,Accessory
Enterococcus_Dallas_144_1,vanH-A,EEKMHMKB_02942,Accessory
Enterococcus_Dallas_144_1,vanS-A,NA,Unknown
Enterococcus_Dallas_144_1,vanR-A,EEKMHMKB_02945,Accessory
Enterococcus_ISMMS_VRE_1,aac(6')-Ie/aph(2'')-Ia,CMJDAPHL_00247,Accessory
Enterococcus_ISMMS_VRE_1,aac(6')-Ie/aph(2'')-Ia,CMJDAPHL_01852,Accessory
Enterococcus_ISMMS_VRE_1,qacZ,CMJDAPHL_01856,Accessory
Enterococcus_ISMMS_VRE_1,erm(T),CMJDAPHL_02194,Accessory
Enterococcus_ISMMS_VRE_1,tet(L),CMJDAPHL_02199,Accessory
Enterococcus_ISMMS_VRE_1,tet(M),CMJDAPHL_02200,Accessory
Enterococcus_ISMMS_VRE_1,tet(M),CMJDAPHL_02429,Accessory
Enterococcus_ISMMS_VRE_1,dfrG,CMJDAPHL_02430,Accessory
Enterococcus_ISMMS_VRE_1,msr(C),CMJDAPHL_02658,Core
Enterococcus_ISMMS_VRE_1,aac(6')-I,CMJDAPHL_03038,Core
Enterococcus_ISMMS_VRE_1,vanZ-A,CMJDAPHL_03210,Accessory
Enterococcus_ISMMS_VRE_1,vanY-A,CMJDAPHL_03211,Accessory
Enterococcus_ISMMS_VRE_1,vanX-A,CMJDAPHL_03212,Accessory
Enterococcus_ISMMS_VRE_1,vanA,CMJDAPHL_03213,Accessory
Enterococcus_ISMMS_VRE_1,vanH-A,CMJDAPHL_03214,Accessory
Enterococcus_ISMMS_VRE_1,vanS-A,NA,Unknown
Enterococcus_ISMMS_VRE_1,vanR-A,CMJDAPHL_03217,Accessory
Enterococcus_ISMMS_VRE_1,aph(3')-IIIa,CMJDAPHL_03221,Accessory
Enterococcus_ISMMS_VRE_1,sat4,CMJDAPHL_03222,Accessory
Enterococcus_ISMMS_VRE_1,ant(6)-Ia,CMJDAPHL_03223,Accessory
Enterococcus_ISMMS_VRE_1,erm(B),CMJDAPHL_03229,Accessory
Enterococcus_JHP80,vanR-B,MJBCJPAE_00303,Accessory
Enterococcus_JHP80,vanS-B,MJBCJPAE_00304,Accessory
Enterococcus_JHP80,vanY-B,MJBCJPAE_00305,Accessory
Enterococcus_JHP80,vanW-B,MJBCJPAE_00306,Accessory
Enterococcus_JHP80,vanH-B,MJBCJPAE_00307,Accessory
Enterococcus_JHP80,vanB,MJBCJPAE_00308,Accessory
Enterococcus_JHP80,vanX-B,MJBCJPAE_00309,Accessory
Enterococcus_JHP80,aac(6')-I,MJBCJPAE_02246,Core
Enterococcus_JHP80,msr(C),MJBCJPAE_02793,Core
Enterococcus_JHP80,aph(3')-IIIa,MJBCJPAE_03081,Accessory
Enterococcus_JHP80,sat4,MJBCJPAE_03082,Accessory
Enterococcus_JHP80,ant(6)-Ia,MJBCJPAE_03083,Accessory
Enterococcus_JHP80,erm(B),MJBCJPAE_03089,Accessory
Enterococcus_6E6,aac(6')-I,GOCPOFIL_00398,Core
Enterococcus_6E6,tet(M),GOCPOFIL_01079,Accessory
Enterococcus_6E6,dfrF,GOCPOFIL_01299,Accessory
Enterococcus_6E6,msr(C),GOCPOFIL_02790,Core
Enterococcus_6E6,vanR-A,GOCPOFIL_03370,Accessory
Enterococcus_6E6,vanS-A,NA,Unknown
Enterococcus_6E6,vanH-A,GOCPOFIL_03372,Accessory
Enterococcus_6E6,vanA,GOCPOFIL_03373,Accessory
Enterococcus_6E6,vanX-A,GOCPOFIL_03374,Accessory
Enterococcus_6E6,vanY-A,GOCPOFIL_03375,Accessory
Enterococcus_6E6,vanZ-A,GOCPOFIL_03376,Accessory
Enterococcus_6E6,erm(B),GOCPOFIL_03417,Accessory
Enterococcus_6E6,aph(3')-IIIa,GOCPOFIL_03418,Accessory
Enterococcus_AA620,dfrG,OFMBFFJI_00059,Accessory
Enterococcus_AA620,tet(M),OFMBFFJI_00060,Accessory
Enterococcus_AA620,tet(M),OFMBFFJI_00302,Accessory
Enterococcus_AA620,tet(L),OFMBFFJI_00303,Accessory
Enterococcus_AA620,aac(6')-I,OFMBFFJI_02236,Core
Enterococcus_AA620,vanX-D,OFMBFFJI_02664,Accessory
Enterococcus_AA620,vanD,OFMBFFJI_02665,Accessory
Enterococcus_AA620,vanH-D,OFMBFFJI_02666,Accessory
Enterococcus_AA620,vanY-D,OFMBFFJI_02667,Accessory
Enterococcus_AA620,vanS-D,NA,Unknown
Enterococcus_AA620,vanR-D,OFMBFFJI_02670,Accessory
Enterococcus_AA620,msr(C),OFMBFFJI_02804,Core
Enterococcus_AA620,tet(M),OFMBFFJI_03123,Accessory
Enterococcus_NY11066,dfrF,GPMFKIOF_01341,Accessory
Enterococcus_NY11066,aac(6')-I,GPMFKIOF_02282,Core
Enterococcus_NY11066,msr(C),GPMFKIOF_02713,Core
Enterococcus_NY11066,aac(6')-Ie/aph(2'')-Ia,GPMFKIOF_02935,Accessory
Enterococcus_NY11066,vanY-A,GPMFKIOF_03102,Accessory
Enterococcus_NY11066,vanZ-A,GPMFKIOF_03103,Accessory
Enterococcus_NY11066,vanR-A,GPMFKIOF_03116,Accessory
Enterococcus_NY11066,vanS-A,NA,Unknown
Enterococcus_NY11066,vanH-A,GPMFKIOF_03118,Accessory
Enterococcus_NY11066,vanA,GPMFKIOF_03119,Accessory
Enterococcus_NY11066,vanX-A,GPMFKIOF_03120,Accessory
Enterococcus_NY11066,aph(3')-IIIa,GPMFKIOF_03128,Accessory
Enterococcus_NY11066,erm(B),GPMFKIOF_03129,Accessory
Enterococcus_Com15,aac(6')-I,CHACAKGF_01816,Core
Enterococcus_Com15,msr(C),CHACAKGF_02140,Core
Enterococcus_E1,msr(C),PFLBEEHL_00082,Core
Enterococcus_E1,aac(6')-I,PFLBEEHL_00511,Core
Enterococcus_E1,dfrF,PFLBEEHL_01316,Accessory
Enterococcus_E1,dfrG,PFLBEEHL_01622,Accessory
Enterococcus_E1,mef(H),PFLBEEHL_01897,Accessory
Enterococcus_E1,aph(3')-IIIa,PFLBEEHL_03047,Accessory
Enterococcus_E1,sat4,PFLBEEHL_03048,Accessory
Enterococcus_E1,ant(6)-Ia,PFLBEEHL_03049,Accessory
Enterococcus_E1,erm(B),PFLBEEHL_03055,Accessory
Enterococcus_VRE_04,ant(6)-Ia,PGOHELML_03336,Accessory
Enterococcus_VRE_04,sat4,PGOHELML_03337,Accessory
Enterococcus_VRE_04,aph(3')-IIIa,PGOHELML_03338,Accessory
Enterococcus_VRE_04,erm(B),PGOHELML_03344,Accessory
Enterococcus_VRE_04,msr(C),PGOHELML_00965,Core
Enterococcus_VRE_04,aac(6')-I,PGOHELML_01399,Core
Enterococcus_VRE_04,vanR-B,PGOHELML_01510,Accessory
Enterococcus_VRE_04,vanS-B,PGOHELML_01511,Accessory
Enterococcus_VRE_04,vanY-B,PGOHELML_01512,Accessory
Enterococcus_VRE_04,vanW-B,PGOHELML_01513,Accessory
Enterococcus_VRE_04,vanH-B,PGOHELML_01514,Accessory
Enterococcus_VRE_04,vanB,PGOHELML_01515,Accessory
Enterococcus_VRE_04,vanX-B,PGOHELML_01516,Accessory
Enterococcus_VRE_04,dfrG,PGOHELML_02580,Accessory
Enterococcus_VRE_04,mef(H),PGOHELML_02862,Accessory
Enterococcus_AA622,dfrG,IKNIBHCM_00060,Accessory
Enterococcus_AA622,tet(M),IKNIBHCM_00061,Accessory
Enterococcus_AA622,tet(M),IKNIBHCM_00299,Accessory
Enterococcus_AA622,tet(L),IKNIBHCM_00300,Accessory
Enterococcus_AA622,aac(6')-I,IKNIBHCM_02219,Core
Enterococcus_AA622,vanX-D,IKNIBHCM_02659,Accessory
Enterococcus_AA622,vanD,IKNIBHCM_02660,Accessory
Enterococcus_AA622,vanH-D,IKNIBHCM_02661,Accessory
Enterococcus_AA622,vanY-D,IKNIBHCM_02662,Accessory
Enterococcus_AA622,vanS-D,IKNIBHCM_02663,Accessory
Enterococcus_AA622,vanR-D,IKNIBHCM_02664,Accessory
Enterococcus_AA622,vanX-D,IKNIBHCM_02699,Accessory
Enterococcus_AA622,vanD,IKNIBHCM_02700,Accessory
Enterococcus_AA622,vanH-D,IKNIBHCM_02701,Accessory
Enterococcus_AA622,vanY-D,IKNIBHCM_02702,Accessory
Enterococcus_AA622,vanS-D,IKNIBHCM_02703,Accessory
Enterococcus_AA622,vanR-D,IKNIBHCM_02704,Accessory
Enterococcus_AA622,msr(C),IKNIBHCM_02840,Core
Enterococcus_AA622,erm(B),IKNIBHCM_03155,Accessory
Enterococcus_AA622,ant(6)-Ia,IKNIBHCM_03163,Accessory
Enterococcus_AA622,tet(M),IKNIBHCM_03297,Accessory
Enterococcus_UCH1,tet(M),GMAIAPAD_00053,Accessory
Enterococcus_UCH1,tet(M),NA,Unknown
Enterococcus_UCH1,tet(L),GMAIAPAD_00289,Accessory
Enterococcus_UCH1,dfrG,GMAIAPAD_00832,Accessory
Enterococcus_UCH1,dfrG,GMAIAPAD_01618,Accessory
Enterococcus_UCH1,aac(6')-I,GMAIAPAD_02350,Core
Enterococcus_UCH1,msr(C),GMAIAPAD_02729,Core
Enterococcus_UCH1,erm(B),GMAIAPAD_03212,Accessory
Enterococcus_UCH1,vanR-A,GMAIAPAD_03219,Accessory
Enterococcus_UCH1,vanS-A,NA,Unknown
Enterococcus_UCH1,vanH-A,GMAIAPAD_03222,Accessory
Enterococcus_UCH1,vanA,GMAIAPAD_03223,Accessory
Enterococcus_UCH1,vanX-A,GMAIAPAD_03224,Accessory
Enterococcus_UCH1,vanY-A,GMAIAPAD_03225,Accessory
Enterococcus_UCH1,vanZ-A,GMAIAPAD_03226,Accessory
Enterococcus_2016,dfrG,FDLBOJNN_00058,Accessory
Enterococcus_2016,tet(M),FDLBOJNN_00059,Accessory
Enterococcus_2016,tet(M),FDLBOJNN_00299,Accessory
Enterococcus_2016,tet(L),FDLBOJNN_00300,Accessory
Enterococcus_2016,aac(6')-I,FDLBOJNN_02302,Core
Enterococcus_2016,msr(C),FDLBOJNN_02702,Core
Enterococcus_2016,aac(6')-Ie/aph(2'')-Ia,FDLBOJNN_03058,Accessory
Enterococcus_2016,lsa(E),FDLBOJNN_03223,Accessory
Enterococcus_2016,lnu(B),FDLBOJNN_03224,Accessory
Enterococcus_2016,ant(6)-Ia,FDLBOJNN_03229,Accessory
Enterococcus_2016,aph(3')-IIIa,FDLBOJNN_03232,Accessory
Enterococcus_2016,erm(B),FDLBOJNN_03233,Accessory
Enterococcus_2016,vanR-A,FDLBOJNN_03266,Accessory
Enterococcus_2016,vanS-A,NA,Unknown
Enterococcus_2016,vanH-A,FDLBOJNN_03269,Accessory
Enterococcus_2016,vanA,FDLBOJNN_03270,Accessory
Enterococcus_2016,vanX-A,FDLBOJNN_03271,Accessory
